Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:48:38,2018-07-27 15:48:38,0.055s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MaximumChar_Password,Chrome 67.0.3396.99,,2018-07-27 15:48:38,2018-07-27 15:48:39,0.640s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:48:38,2018-07-27 15:48:38,0.044s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:38,2018-07-27 15:48:38,0.388s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:48:38,2018-07-27 15:48:38,0.073s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:48:38,2018-07-27 15:48:39,0.028s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_Email_isRegistered,Chrome 67.0.3396.99,,2018-07-27 15:48:39,2018-07-27 15:48:41,2.428s,FAILED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:48:39,2018-07-27 15:48:39,0.040s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:39,2018-07-27 15:48:39,0.155s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:48:39,2018-07-27 15:48:39,0.036s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:39,2018-07-27 15:48:39,0.213s,PASSED
check,Chrome 67.0.3396.99,,2018-07-27 15:48:39,2018-07-27 15:48:40,1.089s,FAILED
submit,Chrome 67.0.3396.99,,2018-07-27 15:48:40,2018-07-27 15:48:40,0.202s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:48:40,2018-07-27 15:48:41,0.547s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:48:41,2018-07-27 15:48:41,0.039s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_KN_isRegistered,Chrome 67.0.3396.99,,2018-07-27 15:48:41,2018-07-27 15:48:42,0.774s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:48:41,2018-07-27 15:48:41,0.045s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:41,2018-07-27 15:48:41,0.274s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:48:41,2018-07-27 15:48:41,0.036s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:41,2018-07-27 15:48:42,0.195s,PASSED
submit,Chrome 67.0.3396.99,,2018-07-27 15:48:42,2018-07-27 15:48:42,0.032s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:48:42,2018-07-27 15:48:42,0.017s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:48:42,2018-07-27 15:48:42,0.050s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_Successful_Registration,Chrome 67.0.3396.99,,2018-07-27 15:48:42,2018-07-27 15:48:43,0.929s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:48:42,2018-07-27 15:48:42,0.096s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:48:42,2018-07-27 15:48:42,0.193s,PASSED
submit,Chrome 67.0.3396.99,,2018-07-27 15:48:42,2018-07-27 15:48:42,0.038s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-27 15:48:42,2018-07-27 15:48:43,0.465s,PASSED
