Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression_Registration,Chrome 67.0.3396.99,,2018-07-27 15:55:45,2018-07-27 15:56:30,45.267s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_Email_is_Invalid,Chrome 67.0.3396.99,,2018-07-27 15:55:46,2018-07-27 15:56:01,15.089s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-27 15:55:46,2018-07-27 15:56:00,13.691s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:00,2018-07-27 15:56:00,0.599s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:00,2018-07-27 15:56:01,0.233s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:01,2018-07-27 15:56:01,0.081s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:01,2018-07-27 15:56:01,0.078s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MaximumChar_Email,Chrome 67.0.3396.99,,2018-07-27 15:56:01,2018-07-27 15:56:02,1.301s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:01,2018-07-27 15:56:01,0.083s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:01,2018-07-27 15:56:02,0.854s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:02,2018-07-27 15:56:02,0.057s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:02,2018-07-27 15:56:02,0.039s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MinimumChar_KN,Chrome 67.0.3396.99,,2018-07-27 15:56:02,2018-07-27 15:56:03,0.768s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:02,2018-07-27 15:56:02,0.040s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:02,2018-07-27 15:56:03,0.238s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:03,2018-07-27 15:56:03,0.128s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:03,2018-07-27 15:56:03,0.031s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:03,2018-07-27 15:56:03,0.049s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MaximumChar_KN,Chrome 67.0.3396.99,,2018-07-27 15:56:03,2018-07-27 15:56:04,0.781s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:03,2018-07-27 15:56:03,0.037s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:03,2018-07-27 15:56:04,0.523s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.023s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.028s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_NumericValue_KN,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.411s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.034s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.155s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.036s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.035s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_EmailisNotAllowed_KN,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.387s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.038s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.171s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.029s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:04,0.030s,PASSED
,,,,,,
