Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/TC001_RegistrationEmail/Verify_MaximumChar_FirstName,Chrome 67.0.3396.99,,2018-07-27 15:56:04,2018-07-27 15:56:05,0.908s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:05,2018-07-27 15:56:05,0.038s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:05,2018-07-27 15:56:05,0.186s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:05,2018-07-27 15:56:05,0.440s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:05,2018-07-27 15:56:05,0.051s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:05,2018-07-27 15:56:05,0.037s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MaximumChar_LastName,Chrome 67.0.3396.99,,2018-07-27 15:56:05,2018-07-27 15:56:07,1.177s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:06,2018-07-27 15:56:06,0.034s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:06,2018-07-27 15:56:06,0.174s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:06,2018-07-27 15:56:06,0.749s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:06,2018-07-27 15:56:07,0.036s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:07,0.059s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MinimumChar_Password,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:07,0.565s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:07,0.035s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:07,0.121s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:07,0.177s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:07,0.046s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:07,0.045s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MaximumChar_Password,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:08,0.504s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:07,0.032s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:07,2018-07-27 15:56:08,0.304s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:08,2018-07-27 15:56:08,0.056s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:08,2018-07-27 15:56:08,0.027s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_Email_isRegistered,Chrome 67.0.3396.99,,2018-07-27 15:56:08,2018-07-27 15:56:09,1.298s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:08,2018-07-27 15:56:08,0.040s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:08,2018-07-27 15:56:08,0.143s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:08,2018-07-27 15:56:08,0.035s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:08,2018-07-27 15:56:08,0.224s,PASSED
submit,Chrome 67.0.3396.99,,2018-07-27 15:56:08,2018-07-27 15:56:08,0.087s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:08,2018-07-27 15:56:09,0.573s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:09,2018-07-27 15:56:09,0.054s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_KN_isRegistered,Chrome 67.0.3396.99,,2018-07-27 15:56:09,2018-07-27 15:56:10,0.861s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:09,2018-07-27 15:56:09,0.053s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:09,2018-07-27 15:56:10,0.280s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:10,0.034s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:10,0.217s,PASSED
submit,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:10,0.034s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:10,0.016s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:10,0.029s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_Successful_Registration,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:11,0.899s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:10,0.052s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:10,0.217s,PASSED
submit,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:10,0.032s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-27 15:56:10,2018-07-27 15:56:11,0.360s,PASSED
,,,,,,
Test Cases/TC002_Login/Verify_UnverifiedEmailAddress,Chrome 67.0.3396.99,,2018-07-27 15:56:11,2018-07-27 15:56:29,18.043s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-27 15:56:11,2018-07-27 15:56:27,16.194s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:27,2018-07-27 15:56:27,0.352s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:27,2018-07-27 15:56:28,0.169s,PASSED
submit,Chrome 67.0.3396.99,,2018-07-27 15:56:28,2018-07-27 15:56:28,0.060s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 15:56:28,2018-07-27 15:56:29,1.191s,PASSED
,,,,,,
Test Cases/TC002_Login/Verify_Email_isIncorrect,Chrome 67.0.3396.99,,2018-07-27 15:56:29,2018-07-27 15:56:30,1.245s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:29,2018-07-27 15:56:29,0.231s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 15:56:29,2018-07-27 15:56:29,0.249s,PASSED
submit,Chrome 67.0.3396.99,,2018-07-27 15:56:29,2018-07-27 15:56:30,0.060s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-27 15:56:30,2018-07-27 15:56:30,0.574s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 15:56:30,2018-07-27 15:56:30,0.048s,PASSED
