Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression_Registration,Chrome 67.0.3396.99,,2018-07-29 19:03:10,2018-07-29 19:03:55,44.549s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_Email_is_Invalid,Chrome 67.0.3396.99,,2018-07-29 19:03:10,2018-07-29 19:03:24,13.816s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-29 19:03:11,2018-07-29 19:03:23,12.865s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-29 19:03:23,2018-07-29 19:03:24,0.446s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-29 19:03:24,2018-07-29 19:03:24,0.167s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-29 19:03:24,2018-07-29 19:03:24,0.055s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-29 19:03:24,2018-07-29 19:03:24,0.041s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MaximumChar_Email,Chrome 67.0.3396.99,,2018-07-29 19:03:24,2018-07-29 19:03:25,0.884s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-29 19:03:24,2018-07-29 19:03:24,0.055s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-29 19:03:24,2018-07-29 19:03:25,0.652s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-29 19:03:25,2018-07-29 19:03:25,0.031s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-29 19:03:25,2018-07-29 19:03:25,0.026s,PASSED
,,,,,,
Test Cases/TC001_RegistrationEmail/Verify_MinimumChar_KN,Chrome 67.0.3396.99,,2018-07-29 19:03:25,2018-07-29 19:03:26,0.611s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-29 19:03:25,2018-07-29 19:03:25,0.072s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-29 19:03:25,2018-07-29 19:03:25,0.148s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-29 19:03:25,2018-07-29 19:03:25,0.080s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-29 19:03:25,2018-07-29 19:03:26,0.129s,PASSED
